,Country,Region,Income,Year,Population
104,St. Kitts and Nevis,Latin America & Caribbean,High income,1960,56660.0
105,"Korea, Rep.",East Asia & Pacific,High income,1960,25012374.0
106,Kuwait,Middle East & North Africa,High income,1960,305415.0
107,Lao PDR,East Asia & Pacific,Lower middle income,1960,2122532.0
108,Lebanon,Middle East & North Africa,Lower middle income,1960,1798092.0
109,Liberia,Sub-Saharan Africa,Low income,1960,1137026.0
110,Libya,Middle East & North Africa,Upper middle income,1960,1426986.0
111,St. Lucia,Latin America & Caribbean,Upper middle income,1960,91614.0
112,Liechtenstein,Europe & Central Asia,High income,1960,16472.0
113,Sri Lanka,South Asia,Lower middle income,1960,9783871.0
114,Lesotho,Sub-Saharan Africa,Lower middle income,1960,737838.0
115,Lithuania,Europe & Central Asia,High income,1960,2778550.0
116,Luxembourg,Europe & Central Asia,High income,1960,313970.0
117,Latvia,Europe & Central Asia,High income,1960,2120979.0
118,"Macao SAR, China",East Asia & Pacific,High income,1960,177014.0
119,St. Martin (French part),Latin America & Caribbean,High income,1960,4135.0
120,Morocco,Middle East & North Africa,Lower middle income,1960,11769774.0
121,Monaco,Europe & Central Asia,High income,1960,21797.0
122,Moldova,Europe & Central Asia,Upper middle income,1960,2074015.0
123,Madagascar,Sub-Saharan Africa,Low income,1960,5073342.0
124,Maldives,South Asia,Upper middle income,1960,91650.0
125,Mexico,Latin America & Caribbean,Upper middle income,1960,36268055.0
126,Marshall Islands,East Asia & Pacific,Upper middle income,1960,15374.0
127,North Macedonia,Europe & Central Asia,Upper middle income,1960,1462368.0
128,Mali,Sub-Saharan Africa,Low income,1960,5346792.0
129,Malta,Middle East & North Africa,High income,1960,326550.0
130,Myanmar,East Asia & Pacific,Lower middle income,1960,21720697.0
131,Montenegro,Europe & Central Asia,Upper middle income,1960,480579.0
132,Mongolia,East Asia & Pacific,Lower middle income,1960,977903.0
133,Northern Mariana Islands,East Asia & Pacific,High income,1960,8702.0
134,Mozambique,Sub-Saharan Africa,Low income,1960,6788375.0
135,Mauritania,Sub-Saharan Africa,Lower middle income,1960,838478.0
136,Mauritius,Sub-Saharan Africa,Upper middle income,1960,676683.0
137,Malawi,Sub-Saharan Africa,Low income,1960,3621081.0
138,Malaysia,East Asia & Pacific,Upper middle income,1960,7833782.0
139,Namibia,Sub-Saharan Africa,Upper middle income,1960,590181.0
140,New Caledonia,East Asia & Pacific,High income,1960,79000.0
141,Niger,Sub-Saharan Africa,Low income,1960,3497431.0
142,Nigeria,Sub-Saharan Africa,Lower middle income,1960,44928342.0
143,Nicaragua,Latin America & Caribbean,Lower middle income,1960,1789684.0
144,Netherlands,Europe & Central Asia,High income,1960,11486631.0
145,Norway,Europe & Central Asia,High income,1960,3581239.0
146,Nepal,South Asia,Lower middle income,1960,10167941.0
147,Nauru,East Asia & Pacific,High income,1960,4582.0
148,New Zealand,East Asia & Pacific,High income,1960,2371800.0
149,Oman,Middle East & North Africa,High income,1960,536553.0
150,Pakistan,South Asia,Lower middle income,1960,45954226.0
151,Panama,Latin America & Caribbean,High income,1960,1126989.0
152,Peru,Latin America & Caribbean,Upper middle income,1960,10172207.0
153,Philippines,East Asia & Pacific,Lower middle income,1960,28486871.0
154,Palau,East Asia & Pacific,Upper middle income,1960,9446.0
155,Papua New Guinea,East Asia & Pacific,Lower middle income,1960,1985666.0
156,Poland,Europe & Central Asia,High income,1960,29637450.0
157,Puerto Rico,Latin America & Caribbean,High income,1960,2358000.0
158,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,1960,11655666.0
159,Portugal,Europe & Central Asia,High income,1960,8857716.0
160,Paraguay,Latin America & Caribbean,Upper middle income,1960,1894829.0
161,French Polynesia,East Asia & Pacific,High income,1960,84851.0
162,Qatar,Middle East & North Africa,High income,1960,36385.0
163,Romania,Europe & Central Asia,High income,1960,18406905.0
164,Russian Federation,Europe & Central Asia,Upper middle income,1960,119897000.0
165,Rwanda,Sub-Saharan Africa,Low income,1960,2966162.0
166,Saudi Arabia,Middle East & North Africa,High income,1960,4165563.0
167,Sudan,Sub-Saharan Africa,Low income,1960,8326462.0
168,Senegal,Sub-Saharan Africa,Lower middle income,1960,3273177.0
169,Singapore,East Asia & Pacific,High income,1960,1646400.0
170,Solomon Islands,East Asia & Pacific,Lower middle income,1960,133440.0
171,Sierra Leone,Sub-Saharan Africa,Low income,1960,2301310.0
172,El Salvador,Latin America & Caribbean,Upper middle income,1960,2779327.0
173,San Marino,Europe & Central Asia,High income,1960,15556.0
174,Somalia,Sub-Saharan Africa,Low income,1960,2870732.0
175,Serbia,Europe & Central Asia,Upper middle income,1960,6608000.0
176,South Sudan,Sub-Saharan Africa,Low income,1960,2907724.0
177,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,1960,68038.0
178,Suriname,Latin America & Caribbean,Upper middle income,1960,268396.0
179,Slovak Republic,Europe & Central Asia,High income,1960,4068095.0
180,Slovenia,Europe & Central Asia,High income,1960,1584720.0
181,Sweden,Europe & Central Asia,High income,1960,7484656.0
182,Eswatini,Sub-Saharan Africa,Lower middle income,1960,345065.0
183,Sint Maarten (Dutch part),Latin America & Caribbean,High income,1960,2646.0
184,Seychelles,Sub-Saharan Africa,High income,1960,41700.0
185,Syrian Arab Republic,Middle East & North Africa,Low income,1960,4610712.0
186,Turks and Caicos Islands,Latin America & Caribbean,High income,1960,5604.0
187,Chad,Sub-Saharan Africa,Low income,1960,3028688.0
188,Togo,Sub-Saharan Africa,Low income,1960,1651367.0
189,Thailand,East Asia & Pacific,Upper middle income,1960,26596584.0
190,Tajikistan,Europe & Central Asia,Lower middle income,1960,2131992.0
191,Turkmenistan,Europe & Central Asia,Upper middle income,1960,1602052.0
192,Timor-Leste,East Asia & Pacific,Lower middle income,1960,468573.0
193,Tonga,East Asia & Pacific,Upper middle income,1960,67428.0
194,Trinidad and Tobago,Latin America & Caribbean,High income,1960,847063.0
195,Tunisia,Middle East & North Africa,Lower middle income,1960,4195467.0
196,Turkiye,Europe & Central Asia,Upper middle income,1960,27510980.0
197,Tuvalu,East Asia & Pacific,Upper middle income,1960,5404.0
198,Tanzania,Sub-Saharan Africa,Lower middle income,1960,10042458.0
199,Uganda,Sub-Saharan Africa,Low income,1960,7617746.0
200,Ukraine,Europe & Central Asia,Lower middle income,1960,42767251.0
201,Uruguay,Latin America & Caribbean,High income,1960,2529021.0
202,United States,North America,High income,1960,180671000.0
203,Uzbekistan,Europe & Central Asia,Lower middle income,1960,8372311.0
204,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1960,84141.0
205,British Virgin Islands,Latin America & Caribbean,High income,1960,7850.0
206,Virgin Islands (U.S.),Latin America & Caribbean,High income,1960,32500.0
207,Viet Nam,East Asia & Pacific,Lower middle income,1960,32718461.0
208,Vanuatu,East Asia & Pacific,Lower middle income,1960,64608.0
209,Samoa,East Asia & Pacific,Lower middle income,1960,113335.0
210,Kosovo,Europe & Central Asia,Upper middle income,1960,947000.0
211,"Yemen, Rep.",Middle East & North Africa,Low income,1960,5542459.0
212,South Africa,Sub-Saharan Africa,Upper middle income,1960,16520441.0
213,Zambia,Sub-Saharan Africa,Lower middle income,1960,3119430.0
214,Zimbabwe,Sub-Saharan Africa,Lower middle income,1960,3806310.0
215,Aruba,Latin America & Caribbean,High income,1961,55811.0
216,Afghanistan,South Asia,Low income,1961,8790140.0
217,Angola,Sub-Saharan Africa,Lower middle income,1961,5441333.0
218,Albania,Europe & Central Asia,Upper middle income,1961,1659800.0
219,Andorra,Europe & Central Asia,High income,1961,10216.0
220,United Arab Emirates,Middle East & North Africa,High income,1961,140984.0
221,Argentina,Latin America & Caribbean,Upper middle income,1961,20680653.0
222,Armenia,Europe & Central Asia,Upper middle income,1961,1971530.0
223,American Samoa,East Asia & Pacific,High income,1961,20626.0
224,Antigua and Barbuda,Latin America & Caribbean,High income,1961,56245.0
225,Australia,East Asia & Pacific,High income,1961,10483000.0
226,Austria,Europe & Central Asia,High income,1961,7086299.0
227,Azerbaijan,Europe & Central Asia,Upper middle income,1961,4045750.0
228,Burundi,Sub-Saharan Africa,Low income,1961,2815972.0
229,Belgium,Europe & Central Asia,High income,1961,9183948.0
230,Benin,Sub-Saharan Africa,Lower middle income,1961,2551216.0
231,Burkina Faso,Sub-Saharan Africa,Low income,1961,4852833.0
232,Bangladesh,South Asia,Lower middle income,1961,51882769.0
233,Bulgaria,Europe & Central Asia,Upper middle income,1961,7943118.0
234,Bahrain,Middle East & North Africa,High income,1961,166970.0
235,"Bahamas, The",Latin America & Caribbean,High income,1961,120216.0
236,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1961,3325333.0
237,Belarus,Europe & Central Asia,Upper middle income,1961,8271216.0
238,Belize,Latin America & Caribbean,Upper middle income,1961,93757.0
239,Bermuda,North America,High income,1961,45500.0
240,Bolivia,Latin America & Caribbean,Lower middle income,1961,3784744.0
241,Brazil,Latin America & Caribbean,Upper middle income,1961,75330008.0
242,Barbados,Latin America & Caribbean,High income,1961,233698.0
243,Brunei Darussalam,East Asia & Pacific,High income,1961,89561.0
244,Bhutan,South Asia,Lower middle income,1961,227071.0
245,Botswana,Sub-Saharan Africa,Upper middle income,1961,524403.0
246,Central African Republic,Sub-Saharan Africa,Low income,1961,1710364.0
247,Canada,North America,High income,1961,18271000.0
248,Switzerland,Europe & Central Asia,High income,1961,5434294.0
249,Channel Islands,Europe & Central Asia,High income,1961,110225.0
250,Chile,Latin America & Caribbean,High income,1961,8313535.0
251,China,East Asia & Pacific,Upper middle income,1961,660330000.0
252,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,1961,3848336.0
253,Cameroon,Sub-Saharan Africa,Lower middle income,1961,5200355.0
254,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,1961,15673284.0
255,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1961,1083431.0
256,Colombia,Latin America & Caribbean,Upper middle income,1961,16182414.0
257,Comoros,Sub-Saharan Africa,Lower middle income,1961,198617.0
258,Cabo Verde,Sub-Saharan Africa,Lower middle income,1961,214788.0
259,Costa Rica,Latin America & Caribbean,Upper middle income,1961,1396138.0
260,Cuba,Latin America & Caribbean,Upper middle income,1961,7418518.0
261,Curacao,Latin America & Caribbean,High income,1961,126125.0
262,Cayman Islands,Latin America & Caribbean,High income,1961,8626.0
263,Cyprus,Europe & Central Asia,High income,1961,594771.0
264,Czechia,Europe & Central Asia,High income,1961,9586651.0
265,Germany,Europe & Central Asia,High income,1961,73377632.0
266,Djibouti,Middle East & North Africa,Lower middle income,1961,89270.0
267,Dominica,Latin America & Caribbean,Upper middle income,1961,60395.0
268,Denmark,Europe & Central Asia,High income,1961,4611687.0
269,Dominican Republic,Latin America & Caribbean,Upper middle income,1961,3408415.0
270,Algeria,Middle East & North Africa,Lower middle income,1961,11598608.0
271,Ecuador,Latin America & Caribbean,Upper middle income,1961,4751507.0
272,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,1961,27747867.0
273,Eritrea,Sub-Saharan Africa,Low income,1961,1016932.0
274,Spain,Europe & Central Asia,High income,1961,30739250.0
275,Estonia,Europe & Central Asia,High income,1961,1225077.0
276,Ethiopia,Sub-Saharan Africa,Low income,1961,22281675.0
277,Finland,Europe & Central Asia,High income,1961,4461005.0
278,Fiji,East Asia & Pacific,Upper middle income,1961,414534.0
279,France,Europe & Central Asia,High income,1961,47161641.0
280,Faroe Islands,Europe & Central Asia,High income,1961,34572.0
281,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,1961,44563.0
282,Gabon,Sub-Saharan Africa,Upper middle income,1961,519329.0
283,United Kingdom,Europe & Central Asia,High income,1961,52800000.0
284,Georgia,Europe & Central Asia,Upper middle income,1961,3703600.0
285,Ghana,Sub-Saharan Africa,Lower middle income,1961,7109029.0
286,Gibraltar,Europe & Central Asia,High income,1961,21907.0
287,Guinea,Sub-Saharan Africa,Lower middle income,1961,3578631.0
288,"Gambia, The",Sub-Saharan Africa,Low income,1961,410801.0
289,Guinea-Bissau,Sub-Saharan Africa,Low income,1961,583107.0
290,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1961,272264.0
291,Greece,Europe & Central Asia,High income,1961,8398050.0
292,Grenada,Latin America & Caribbean,Upper middle income,1961,95096.0
293,Greenland,Europe & Central Asia,High income,1961,33700.0
294,Guatemala,Latin America & Caribbean,Upper middle income,1961,4251911.0
295,Guam,East Asia & Pacific,High income,1961,73873.0
296,Guyana,Latin America & Caribbean,High income,1961,588597.0
297,"Hong Kong SAR, China",East Asia & Pacific,High income,1961,3168100.0
298,Honduras,Latin America & Caribbean,Lower middle income,1961,2139928.0
299,Croatia,Europe & Central Asia,High income,1961,4167292.0
300,Haiti,Latin America & Caribbean,Lower middle income,1961,3974934.0
301,Hungary,Europe & Central Asia,High income,1961,10029321.0
302,Indonesia,East Asia & Pacific,Upper middle income,1961,90816938.0
303,Isle of Man,Europe & Central Asia,High income,1961,48422.0
304,India,South Asia,Lower middle income,1961,456351876.0
305,Ireland,Europe & Central Asia,High income,1961,2824400.0
306,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,1961,21983622.0
307,Iraq,Middle East & North Africa,Upper middle income,1961,7260714.0
308,Iceland,Europe & Central Asia,High income,1961,179029.0
309,Israel,Middle East & North Africa,High income,1961,2185000.0
310,Italy,Europe & Central Asia,High income,1961,50536350.0
311,Jamaica,Latin America & Caribbean,Upper middle income,1961,1663754.0
312,Jordan,Middle East & North Africa,Lower middle income,1961,891848.0
313,Japan,East Asia & Pacific,High income,1961,94055000.0
314,Kazakhstan,Europe & Central Asia,Upper middle income,1961,9639302.0
315,Kenya,Sub-Saharan Africa,Lower middle income,1961,8047470.0
316,Kyrgyz Republic,Europe & Central Asia,Lower middle income,1961,2255900.0
317,Cambodia,East Asia & Pacific,Lower middle income,1961,5664654.0
318,Kiribati,East Asia & Pacific,Lower middle income,1961,48275.0
319,St. Kitts and Nevis,Latin America & Caribbean,High income,1961,56247.0
320,"Korea, Rep.",East Asia & Pacific,High income,1961,25765673.0
321,Kuwait,Middle East & North Africa,High income,1961,339697.0
322,Lao PDR,East Asia & Pacific,Lower middle income,1961,2171141.0
323,Lebanon,Middle East & North Africa,Lower middle income,1961,1853295.0
324,Liberia,Sub-Saharan Africa,Low income,1961,1165005.0
325,Libya,Middle East & North Africa,Upper middle income,1961,1478760.0
326,St. Lucia,Latin America & Caribbean,Upper middle income,1961,92761.0
327,Liechtenstein,Europe & Central Asia,High income,1961,16834.0
328,Sri Lanka,South Asia,Lower middle income,1961,10022888.0
329,Lesotho,Sub-Saharan Africa,Lower middle income,1961,760895.0
330,Lithuania,Europe & Central Asia,High income,1961,2823550.0
331,Luxembourg,Europe & Central Asia,High income,1961,316845.0
332,Latvia,Europe & Central Asia,High income,1961,2152681.0
333,"Macao SAR, China",East Asia & Pacific,High income,1961,178672.0
334,St. Martin (French part),Latin America & Caribbean,High income,1961,4258.0
335,Morocco,Middle East & North Africa,Lower middle income,1961,12081713.0
336,Monaco,Europe & Central Asia,High income,1961,21907.0
337,Moldova,Europe & Central Asia,Upper middle income,1961,2127854.0
338,Madagascar,Sub-Saharan Africa,Low income,1961,5206239.0
339,Maldives,South Asia,Upper middle income,1961,93952.0
340,Mexico,Latin America & Caribbean,Upper middle income,1961,37439317.0
341,Marshall Islands,East Asia & Pacific,Upper middle income,1961,15867.0
342,North Macedonia,Europe & Central Asia,Upper middle income,1961,1481112.0
343,Mali,Sub-Saharan Africa,Low income,1961,5420247.0
344,Malta,Middle East & North Africa,High income,1961,325250.0
345,Myanmar,East Asia & Pacific,Lower middle income,1961,22203109.0
346,Montenegro,Europe & Central Asia,Upper middle income,1961,491140.0
347,Mongolia,East Asia & Pacific,Lower middle income,1961,1011502.0
348,Northern Mariana Islands,East Asia & Pacific,High income,1961,8965.0
349,Mozambique,Sub-Saharan Africa,Low income,1961,6917521.0
350,Mauritania,Sub-Saharan Africa,Lower middle income,1961,861663.0
351,Mauritius,Sub-Saharan Africa,Upper middle income,1961,680757.0
352,Malawi,Sub-Saharan Africa,Low income,1961,3708193.0
353,Malaysia,East Asia & Pacific,Upper middle income,1961,8074805.0
354,Namibia,Sub-Saharan Africa,Upper middle income,1961,601424.0
355,New Caledonia,East Asia & Pacific,High income,1961,81200.0
356,Niger,Sub-Saharan Africa,Low income,1961,3602530.0
357,Nigeria,Sub-Saharan Africa,Lower middle income,1961,45855507.0
358,Nicaragua,Latin America & Caribbean,Lower middle income,1961,1844630.0
359,Netherlands,Europe & Central Asia,High income,1961,11638712.0
360,Norway,Europe & Central Asia,High income,1961,3609800.0
361,Nepal,South Asia,Lower middle income,1961,10365144.0
362,Nauru,East Asia & Pacific,High income,1961,4753.0
363,New Zealand,East Asia & Pacific,High income,1961,2419700.0
364,Oman,Middle East & North Africa,High income,1961,546443.0
365,Pakistan,South Asia,Lower middle income,1961,47060915.0
366,Panama,Latin America & Caribbean,High income,1961,1160832.0
367,Peru,Latin America & Caribbean,Upper middle income,1961,10478096.0
368,Philippines,East Asia & Pacific,Lower middle income,1961,29342411.0
369,Palau,East Asia & Pacific,Upper middle income,1961,9639.0
370,Papua New Guinea,East Asia & Pacific,Lower middle income,1961,2035672.0
371,Poland,Europe & Central Asia,High income,1961,29964000.0
372,Puerto Rico,Latin America & Caribbean,High income,1961,2399722.0
373,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,1961,11916515.0
374,Portugal,Europe & Central Asia,High income,1961,8929316.0
375,Paraguay,Latin America & Caribbean,Upper middle income,1961,1941208.0
376,French Polynesia,East Asia & Pacific,High income,1961,86921.0
377,Qatar,Middle East & North Africa,High income,1961,40111.0
378,Romania,Europe & Central Asia,High income,1961,18555250.0
379,Russian Federation,Europe & Central Asia,Upper middle income,1961,121236000.0
380,Rwanda,Sub-Saharan Africa,Low income,1961,3046654.0
381,Saudi Arabia,Middle East & North Africa,High income,1961,4306048.0
382,Sudan,Sub-Saharan Africa,Low income,1961,8577490.0
383,Senegal,Sub-Saharan Africa,Lower middle income,1961,3367082.0
384,Singapore,East Asia & Pacific,High income,1961,1702400.0
385,Solomon Islands,East Asia & Pacific,Lower middle income,1961,136780.0
386,Sierra Leone,Sub-Saharan Africa,Low income,1961,2341065.0
387,El Salvador,Latin America & Caribbean,Upper middle income,1961,2858896.0
388,San Marino,Europe & Central Asia,High income,1961,15895.0
389,Somalia,Sub-Saharan Africa,Low income,1961,2945662.0
390,Serbia,Europe & Central Asia,Upper middle income,1961,6655000.0
391,South Sudan,Sub-Saharan Africa,Low income,1961,2948953.0
392,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,1961,68705.0
393,Suriname,Latin America & Caribbean,Upper middle income,1961,277969.0
394,Slovak Republic,Europe & Central Asia,High income,1961,4191667.0
395,Slovenia,Europe & Central Asia,High income,1961,1594131.0
396,Sweden,Europe & Central Asia,High income,1961,7519998.0
397,Eswatini,Sub-Saharan Africa,Lower middle income,1961,352971.0
398,Sint Maarten (Dutch part),Latin America & Caribbean,High income,1961,2888.0
399,Seychelles,Sub-Saharan Africa,High income,1961,42889.0
400,Syrian Arab Republic,Middle East & North Africa,Low income,1961,4751534.0
401,Turks and Caicos Islands,Latin America & Caribbean,High income,1961,5625.0
402,Chad,Sub-Saharan Africa,Low income,1961,3087657.0
403,Togo,Sub-Saharan Africa,Low income,1961,1678788.0
404,Thailand,East Asia & Pacific,Upper middle income,1961,27399963.0
405,Tajikistan,Europe & Central Asia,Lower middle income,1961,2208026.0
406,Turkmenistan,Europe & Central Asia,Upper middle income,1961,1658569.0
407,Timor-Leste,East Asia & Pacific,Lower middle income,1961,475796.0
408,Tonga,East Asia & Pacific,Upper middle income,1961,69391.0
409,Trinidad and Tobago,Latin America & Caribbean,High income,1961,865028.0
410,Tunisia,Middle East & North Africa,Lower middle income,1961,4236386.0
411,Turkiye,Europe & Central Asia,Upper middle income,1961,28255002.0
412,Tuvalu,East Asia & Pacific,Upper middle income,1961,5436.0
413,Tanzania,Sub-Saharan Africa,Lower middle income,1961,10337891.0
414,Uganda,Sub-Saharan Africa,Low income,1961,7838440.0
415,Ukraine,Europe & Central Asia,Lower middle income,1961,43365219.0
416,Uruguay,Latin America & Caribbean,High income,1961,2561153.0
417,United States,North America,High income,1961,183691000.0
418,Uzbekistan,Europe & Central Asia,Lower middle income,1961,8692048.0
419,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1961,85666.0
420,British Virgin Islands,Latin America & Caribbean,High income,1961,7885.0
421,Virgin Islands (U.S.),Latin America & Caribbean,High income,1961,34300.0
422,Viet Nam,East Asia & Pacific,Lower middle income,1961,33621982.0
423,Vanuatu,East Asia & Pacific,Lower middle income,1961,66462.0
424,Samoa,East Asia & Pacific,Lower middle income,1961,116820.0
425,Kosovo,Europe & Central Asia,Upper middle income,1961,966000.0
426,"Yemen, Rep.",Middle East & North Africa,Low income,1961,5646668.0
427,South Africa,Sub-Saharan Africa,Upper middle income,1961,16989464.0
428,Zambia,Sub-Saharan Africa,Lower middle income,1961,3219451.0
